feature_id,phylum,kingdom,annotation_molecular_species,annotation_class_verbatim,annotation_class_normalised,annotation_superclass,annotation_source,annotation_tier,annotation_level
A15_106889,Streptophyta,Viridiplantae,TG(27:3_9:0)+O:(s),TG,TG,Glycerolipids,LipidSearch,Gold,4
A15_6715,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_165945,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_164839,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_179494,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_211145,Streptophyta,Viridiplantae,TG(49:14_18:3),TG,TG,Glycerolipids,LipidSearch,Gold,4
A15_58831,Methanobacteriota,Archaea,,,,,none,Unidentified,0
A15_159058,Bacillota,Bacteria,,,,,none,Unidentified,0
A15_154265,Ascomycota,Fungi,,,,,none,Unidentified,0
A15_153086,Ascomycota,Fungi,,,,,none,Unidentified,0
A15_122099,Streptophyta,Viridiplantae,PC(35:6),PC,PC,Glycerophospholipids,LipidSearch,Bronze,3
A15_147748,Basidiomycota,Fungi,PC(36:4),PC,PC,Glycerophospholipids,LipidSearch,Bronze,3
A15_95511,Streptophyta,Viridiplantae,TG(22:3_13:1),TG,TG,Glycerolipids,LipidSearch,Bronze,3
A15_60681,Streptophyta,Viridiplantae,PG(10:0_18:2),PG,PG,Glycerophospholipids,LipidSearch,Bronze,3
A15_47745,Ascomycota,Fungi,LPC(O-16:0),LPC,LPC,Glycerophospholipids,LipidSearch,Bronze,3
A15_44038,Ascomycota,Fungi,LPC(O-16:0),LPC,LPC,Glycerophospholipids,LipidSearch,Bronze,3
A15_49521,Ascomycota,Fungi,,,,,none,Unidentified,0
A15_68592,Basidiomycota,Fungi,TG(3:0_6:0_18:2),TG,TG,Glycerolipids,LipidSearch,Gold,4
A15_62392,Basidiomycota,Fungi,TG(9:0_18:2),TG,TG,Glycerolipids,LipidSearch,Gold,4
A15_218022,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_113134,Streptophyta,Viridiplantae,,PE,PE,Glycerophospholipids,MS2_diagnostic,Bronze,2
A15_95865,Streptophyta,Viridiplantae,,PC/SM,PC/SM,Glycerophospholipids|Sphingolipids,MS2_diagnostic,Bronze,2
A15_16752,Streptophyta,Viridiplantae,,SM,SM,Sphingolipids,MS2_diagnostic,Bronze,2
A15_223872,Streptophyta,Viridiplantae,,,,,none,Unidentified,0
A15_164161,Streptophyta,Viridiplantae,,GDGT/Archaeol,GDGT/Archaeol,Archaeal lipids,MS2_diagnostic,Bronze,2
A15_85682,Streptophyta,Viridiplantae,PG(16:1_16:3),PG,PG,Glycerophospholipids,LipidSearch,Gold,4
