feature_id,consensus_mz,consensus_rt,n_batches,phylum,kingdom,target_detected,bg_detected,detection_rate,specificity,exclusivity,log2fc,mean_target,mean_background,batch_confirm,batch_rate,composite_score,n_target_samples,n_target_batches,biomarker_quality,biomarker_tier
A15_221332,1295.901022,21.4226,4,Bacillota,Bacteria,14,2,0.56,0.875,0.9856,3.705,1246125.5,94627.0,3,1.0,72.52,25,3,Silver,Silver
A15_138427,724.511851,13.1701,5,Bacillota,Bacteria,25,31,1.0,0.4464,0.777,5.663,11302984.5,222143.1,3,1.0,72.49,25,3,Silver,Silver
A15_128052,695.486184,12.5152,3,Bacillota,Bacteria,18,13,0.72,0.5806,0.9065,8.909,11185713.2,22265.8,2,0.6667,72.3,25,3,Silver,Silver
A15_221963,1300.928313,21.5094,3,Bacillota,Bacteria,20,5,0.8,0.8,0.964,4.13,6895260.2,392763.6,2,0.6667,71.9,25,3,Silver,Silver
A15_169767,699.516996,16.3036,4,Bacillota,Bacteria,23,12,0.92,0.6571,0.9137,2.502,724241.3,127030.7,3,1.0,71.85,25,3,Silver,Silver
A15_136885,724.511778,13.1141,5,Bacillota,Bacteria,25,30,1.0,0.4545,0.7842,5.157,11665412.2,326074.9,3,1.0,71.79,25,3,Silver,Silver
A15_222165,1331.896161,21.6714,4,Bacillota,Bacteria,17,3,0.68,0.85,0.9784,2.113,782481.2,180150.0,3,1.0,71.51,25,3,Silver,Silver
A15_174221,679.470826,16.592,4,Bacillota,Bacteria,21,9,0.84,0.7,0.9353,2.481,1608947.3,287280.7,3,1.0,71.32,25,3,Silver,Silver
A15_223587,784.732632,21.9455,4,Bacillota,Bacteria,25,16,1.0,0.6098,0.8849,2.087,1836584.8,431540.3,3,1.0,71.32,25,3,Silver,Silver
A15_222758,1340.958591,21.9208,3,Bacillota,Bacteria,19,9,0.76,0.6786,0.9353,6.29,6647619.6,83942.8,2,0.6667,71.29,25,3,Silver,Silver
A15_138770,723.542609,13.2703,3,Bacillota,Bacteria,18,4,0.72,0.8182,0.9712,4.449,195232.7,7985.5,2,0.6667,71.16,25,3,Silver,Silver
A15_221119,1317.881622,21.4238,4,Bacillota,Bacteria,15,4,0.6,0.7895,0.9712,3.799,634155.9,44641.2,3,1.0,70.99,25,3,Silver,Silver
A15_141227,1402.966396,13.2804,3,Bacillota,Bacteria,21,7,0.84,0.75,0.9496,3.988,1894126.2,118414.6,2,0.6667,70.97,25,3,Silver,Silver
A15_132298,695.485746,12.8547,4,Bacillota,Bacteria,17,20,0.68,0.4595,0.8561,8.232,12179312.7,39514.0,3,1.0,70.81,25,3,Silver,Silver
A15_180620,299.257665,16.9599,4,Bacillota,Bacteria,24,22,0.96,0.5217,0.8417,3.806,445556.1,30930.2,3,1.0,70.68,25,3,Silver,Silver
A15_223473,1366.972457,22.0184,4,Bacillota,Bacteria,16,4,0.64,0.8,0.9712,2.958,193146.8,23988.8,3,1.0,70.63,25,3,Silver,Silver
A15_133499,648.459489,12.8906,4,Bacillota,Bacteria,23,23,0.92,0.5,0.8345,4.604,4075736.7,166620.3,3,1.0,70.55,25,3,Silver,Silver
A15_128214,645.468201,12.3629,4,Bacillota,Bacteria,23,31,0.92,0.4259,0.777,5.982,1972732.5,30230.3,3,1.0,70.51,25,3,Silver,Silver
A15_189086,1131.970793,17.6749,3,Bacillota,Bacteria,21,4,0.84,0.84,0.9712,2.28,2044802.1,420286.0,2,0.6667,70.47,25,3,Silver,Silver
A15_157147,698.512764,14.9096,4,Bacillota,Bacteria,23,16,0.92,0.5897,0.8849,2.903,1146829.0,152458.9,3,1.0,70.35,25,3,Silver,Silver
A15_140358,299.257409,13.3672,4,Bacillota,Bacteria,24,31,0.96,0.4364,0.777,5.211,6444628.7,173040.8,3,1.0,70.28,25,3,Silver,Silver
A15_108347,465.408973,10.5085,3,Bacillota,Bacteria,19,7,0.76,0.7308,0.9496,4.892,861098.2,28033.0,2,0.6667,70.2,25,3,Silver,Silver
A15_147295,650.475499,13.9905,4,Bacillota,Bacteria,24,30,0.96,0.4444,0.7842,5.004,28495903.8,887328.9,3,1.0,70.18,25,3,Silver,Silver
A15_205755,827.740475,19.342,4,Bacillota,Bacteria,23,14,0.92,0.6216,0.8993,2.249,1343450.5,281866.3,3,1.0,70.14,25,3,Silver,Silver
A15_200743,827.738589,18.6513,4,Bacillota,Bacteria,22,14,0.88,0.6111,0.8993,2.827,821813.1,114959.5,3,1.0,69.98,25,3,Silver,Silver
A15_139960,717.46792,13.415,4,Bacillota,Bacteria,23,14,0.92,0.6216,0.8993,2.107,2573845.1,596753.1,3,1.0,69.86,25,3,Silver,Silver
A15_140045,650.475677,13.5771,4,Bacillota,Bacteria,22,28,0.88,0.44,0.7986,5.787,22549190.8,407433.9,3,1.0,69.76,25,3,Silver,Silver
A15_135877,495.440129,12.9975,4,Bacillota,Bacteria,20,17,0.8,0.5405,0.8777,4.844,843120.6,28394.8,3,1.0,69.68,25,3,Silver,Silver
